Response,Sentiment
I emailed disability for update as my payments stoped and after several times with no response I had to go into an office for update and correction of errors to restart payments,N
I emailed under the 'contact us' and never recceived a response. It's extremely difficult to get through on the phones. It took several days of repeatedly calling in and being told to call back. Super frustrating/exhausting/disheartening while trying to heal from extensive surgery.,N
I feel it was easy to fill out the application for disability and easy to find what to click on the website,P
I feel that all your go to pages gave me the information I needed to go forward with my claim.,P
I felt that your Disability Services Website was extremely user-friendly.  We appreciate your quality customer services.,P
"I filed my DI claim on [DATE1] and EDD received it on [DATE2]. I have not received the letter of Compulation, I haven't gotten any replies to my 6 emails reaching out for help regarding my claim and when I will be paid. This is by far the worst experience I've ever had and the first time too that I've ever applied for disability. I NEED HELP! I haven't even been able to speak to a human, day after day I have tried. I just don't know what to do anymore. According to your website I should've been paid 2 weeks ago? Well I haven't even talked to anyone. Please help me!!",N
"I filled for EDD unemployment online during the Obama administration & was able to complete it & get benefits. In 2023, I applied for unemployment and forgot how to do it. I printed a paper application & mailed to EDD. They sent me a form to send a picture ID and county birth certificate to verify my identity. I sent my CDL and county birth certificate. EDD denied me benefits and sent me an appeal form. This time I sent everything, including a Jury notice.   ó Three Months Went By Before I Got An Approval And An Unemployment Check ó  Most days, EDD does not answer their phone. Each EDD rep game me one piece of information. One told me to use Chrome browser. Another rep told me to use my original email. Another EDD rep told me to use forward slashes for my birthday.   óI would no have to call if this information was on the EDD website. ó  I applied for disability in 2024 & was approved, but I thought I was able to go to work. The EDD website does not say to renew a claim or start a new one.",N
"I filled out the form. Then it left a message that I have to contact the office, which is literally impossible no matter what time of the day you call.",N
I find instructions  very helpful,P
I find it outrageous that it is impossible to reach a human rep to assist with problems.,N
"I find the website a bit confusing.  When I try to look for some forms online, it takes me in circles.  I call and can never get through for someone to help guide me.",N
I found a great deal of useful information on the different sections of the EDD website.,P
I found everything i needed on the website which made it easy to do and upload documents as well.,P
"I found it very difficult to reach anyone to talk to and when I would send a message, it was sometimes never answered. Everytime I submitted paperwork sent to me from EDD, a new claim was opened and it just created more confusion.",N
i found it very intuitive to use,P
I found the phone call and Services very difficult to deal with because I never could get through to anyone I think in six months I've been dealing with this program. I got through once for an agent. I ended up having to figure everything out by myself.,N
"I found the process lengthy, sometimes redundant but generally easy as long as you followed the steps correctly.",O
"I found the website very user friendly and easy to navigate. When I spoke to a representative by phone, they were knowledgeable of the process and answered all of my questions.",P
I found these very helpful and user friendly,P
I found what I was looking for.,O
"I gave up on those and tried to call, over 50 times. All I got was everyone busy and try again.",N
"i get confused filling out the online questioner's, and don't want to make mistakes",O
I get 'error' messages for information I KNOW is correct,N
I got answers needed.,O
"I got as far as I could on my own. Your representative helped tremendously, actually walked me through the process til I completed the appropriate form. The woman was very calm, polite. She definitely put me at ease. Thank her and thank you.",P
I had [EMPLOYEE NAME] help me  and very informative and patient with me. Very professional,P
I had a deadline by which to submit forms and tried for weeks to reach someone by phone but was consistently told that no one was available to help.,N
I had a great experience with the customer service,P
"I had a hard time finding out that I had to file a form each month to avoid my claim being closed out. I did not see where I was told to file a continued claim form EVERY month. I thought as long as the doctor filled out a form each month that my claim would be considered as ongoing until I closed it using the form to close the claim. I don't know where I stand now and cannot find out when or if my appeal to continue my claim was granted. I'm very upset about this because I tried very hard to follow the rules but there wasn't clear guidance on doing that. Additionally I couldn't talk to a Human Being to find out what I had to do next or what I did wrong or left incomplete!!!! I still don't know what to do and wish there was a person to talk to about what to do to get my appeal granted. It seems grossly unfair that during the worst sickness of my life, I messed up on some detail in your system and as a result will lose my money! I should be able to explain that to a person somehow!",N
I had a little difficulty knowing that I had to confirm weekly.,O
I had been paid by DI for several weeks now and I couldn't understand why I had not been compensated during my pay period. When I asked the help online automated system it gave me a generic response which still did not answer my questions. I then decided to contact my local disability office on several occasions and I would always be on a dropped call. It wasn't until I had to physically go in person to the office in my walker and barely any strength to walk. To which my answer to my question could have been answered over a phone call. I am very displeased with my experience.,N
I had change my password 3 times to be able to log in.,O
I had no problems navigating through the user-friendly website.,P
I had questions regarding process time and information given and my concerns were handled appropriately.,P
"I had some problems getting through on your phone lines, but once I got to speak to one of your associates they provided me with the information and details I needed to finish my application. Thank you",P
"I had some problems with ID self, due to a changed email. It was and still is extremely difficult to speak with a live person.",N
I had some questions that could not be answered such as working at multiple locations and what needs to be done with each employer.,O
I had to navigate but eventually figured it out.,O
"i have a dominant hand [MEDICAL CONDITION]..'s i'm  difficult to navigate on thee Edd site, not easy to find items. i'm a consultant/project manager. the site isn't user friendly and needs to be improved.",N
I have a hard time remembering the sites I have looked at since the accident. I am doing my best.,N
I have a mental health issue with PTSD from being [SITUATION].,O
"I have been attempting to speak to a live agent, for the past 72 hours, and I have been unsuccessful at even getting somebody to return a call or a message. I have not received my latest scheduled direct deposit, and I am trying to find out why my direct deposit stopped? I even call a couple of minutes prior to the phone lines opening at 8 AM, and I'm still getting a recording saying that there is no representative available to take my call, due to maximum number of colors being reached. It's hard to believe that there are already a maximum number of colors on hold, before the phone lines even open. Can somebody please call me? [PHONE NUMBER]",N
I have been battling for two months for payment and EDD does not communicate or process anything in a timely manner even when I'm making trips in office.  It have been entitled to receive payment since [MONTH] and have not received anything but housing and food insecurity stress migraines!!!!,N
"I have been calling as early as 8am & several times throughout the days, the answering service is always on and there is NO HELP. It is  very sad & frustrating as tax payers we cannot get help when in need. I have emailed no response, Just a disgrace",N
I have been trying to access my EDD account over a month and I still can't get access. I called customers service and still no help. Please HELP.!!!,N
I have been trying to claim my short term disability benefits since [DATE]. It was approved. I never received a debit card and no money was directly deposited. I call all the time and can never get someone. I have [DOLLAR AMOUNT] worth of funds that I need but have no access to and can't find out how or why.,N
I have been trying to contact disability for the last week. I have called everyday at 8:00am in between the day and later on the day. No answer. It is very frustrating that the state does not have staffing. Really need to improve.,N
"I have been trying to contact Sdi and there is no way to talk to a live person. It's been 10 pass my 7 days wait and nothing is happening.  Also, I never received Andy update emails.",N
"I have been trying to get clear communication about my claim since [DATE1]. It is now [DATE2] and I just got an email (after going to EDD 3x times to call in- because calling on your own is a fool's errand,) informing me that my claim is not really a DI claim but a worker's comp claim. I was out of work for 16 weeks (4 months) with no pay, waiting for my claim to be completed so savings is gone and credit cards high. Now back to work and no resolution. I don't have the time to go to another EDD center during the day now. [COMPANY NAME] approved the disability, and said EDD would have to pay. EDD says, they aren't required to pay, my employer is. This is frustrating beyond words.",N
"I have been trying to login/change my password for 3 weeks.  When I call [PHONE NUMBER] the que always says the que is full and to call later.  I have tried calling daily, 3 and 4 times a day to no avail.    Your system is broken and has been for years.",N
I have been trying to reach a representative for 3 weeks. I have submitted 3 follow up inquiries via the online portal and attempted to call over 20 times and STILL HAVE NOT BEEN CONTACTED. My payment is overdue and I'm unable to pay my mortgage. This is absolutely unacceptable and this impacts peoples lives in a very serious manner. I work FULL time and only needed disability resources for 3 weeks. I make 6 figures annually. If this is impacting me negatively I can't imagine how this would impact others who aren't as fortunate. This is despicable.,N
I have been unable to ro find out why my disability stopped when I was approved until [DATE1]. My last payment was [DATE2].,O
"I have been waiting for over 45 days and still no word on my benefits. They have been calculated but nothing has been dispersed. I cannot seem to get a representative on the line and the automated system just says give them 14 days. It has been well past 14 days. The last correspondence I received was on [DATE1] and it is now past [DATE2]. I've submitted update requests and heard nothing. A little bit of info is all I'm looking for, maybe the site or automated line could be a little more thorough.",N
I have been waiting in my disability claim for one month now . I have received a notice of computation almost a month ago . The phone number you provided for disability never is answered by a human being after calling almost 500+ times .,N
"I have been waiting on an update for my disability insurance for over a month now and have not gotten any update. Not only that but when you call to speak to someone it says they are busy, no matter what time you call, and automatically hangs up on you. This is the most infuriating process i've ever had to go through while also trying to recover from an invasive surgery. I am unable able to pay for my bills and I am struggling significantly and this website is no help at all.",N
"I have called EDD 4 days in a row a total of 457 calls were made, and I was turned away because all representatives were busy. That's very sad, that people can't help when needed. 457 attempts to get help, shame on you all.",N
"I have called numerous times at different times of the day,for weeks! and could not speak to anyone. Absolutely ridiculous! Hire more people",N
"I have called so many times and cannot get anyone to answer the phone for disability, I have an active claim. I cannot get paid, everything is in a pending status and no one to answer any questions.  WHAT IS WRONG WITH YOUR SITE?",N
I have forms to look over & website does not take me to inbox! 1 must start from the beginning of the general website & STILL hard! Seems website is designed for folk that are used of taking advantage of government & not for the working folk who rarely go into using these benefits.,N
"I have had questions and tried calling in multiple times but either the call drops because they have reached the maximum calls or unable to get a live agent. This is really bad. I need help and there is no one available to help, I have never experienced this ever before. How do you expect us to complete the forms if there is no one to help.",N
I have left a message as I noticed that there was a middle initial added to my account and no one has contacted.   I also noticed that there is a fraudulent claim on my account.   It is so difficult to reach done o e go discuss this issue.,N
I have never once been able to get through by phone to EDD. I have tried calling at all different hours during business hours. I haven't been paid for 31 days. My disability was extended and I'm completely ignored.  I've emailed as well and no response. I need help!!,N
I have never see any department like this in my 40 years of life. Considering I lived in more then 6 countries. No one is picking the phone I call from 7:59 AM to 5:00PM MILLIONS of time no one ever picked the call. It's very insultingly. I lived whole month without any income and still waiting for EDD response regarding my claim. Please treat people like human we are not animals.,N
I have no complaints! My questions were answered a to follow up with my doctor for the needed information.,P
I have not been paid on time and my benefits are missing from my disability I cannot contact anyone on the phone and my emails are going unresponsed. Very disappointed no can help,N
I Have not received a return message for my concerns.,N
I have not received payments over the last month and your telephone and online system has been absolutely no help.,N
I have questions regarding extension of my disability and this website does not make it easy. It's bad enough you cannot get a hold of a rep to speak to. This whole online does make some things convenient but does not really clarify some questions you may have.,N
"I have requested someone to call me on three different occasions and only one has returned my call which was because they over paid me. There aren't enough characters on the request box to inform them why you need contacted. I have been off of work 6 weeks. Out of the 30 days I am approved for pay, I have received 6 days. I am back to work now and no one will contact me via a request. You can never reach anyone by phone and no other field offices like [CITY] can help you. I NEED HELP! Please???",N
I have sent multiple messages over the course of my disability asking for assistance and have not received any responses. Trying to talk to someone is impossible. Took me 2 weeks to get through and even then it was because I called for 45 minutes straight hoping to get into the short listed waiting queue. I called at 8:00AM on the dot and by the time I got through the prompts the queue was full. There are not enough call center reps to handle the amount of calls received and the one I did speak with was rude and disrespectful towards me. People are reliant upon this service and there needs to be better communication from the state and their workers,N
I have sent questions no answer so far. Unable to reach anyone at disablity  i,N
"I have to call multiple times then when I get thru I get put on hold for very long time. I can call at 8:01 and answer will say, they have reach the capacity of callers. Thank you [EMPLOYEE NAME] for helping me and for taking the time to investigate and correct my claim.",O
"I have to fill 2500A and it had pre marked the boxes. That I couldn't correct. So I will go back to the office for the 3rd time and hopefully wont loose the benefits.   And if I call I've yet to talk to anyone, to bad they cant leave a phone number so we can be called back.",N
"I have tried calling for over a month. A prompt comes on to call another time cause it's busy. I've tried morning, noon, and 4. Same prompt. It says I have messages but only gives me messages up until September. I was also not paid last time, on time, which made 3 bills charge me overdraft fees. It's frustrating and confusing for my doctor also. He said he tried to file my paperwork online, but he couldn't get through on his part.  I would rather have an overpayment that I can pay back then being late. Now I am paying [DOLLAR AMOUNT] in fees. This is ridiculous.",N
"I have tried calling over and over again to no avail.  I have been without payments for 30 days. I have sent an email and have not gotten a response.  One time I was asked if I wanted to speak to an agent, I said yes and left my number. I received a call back and there wasn't anyone on the line. I need to speak to someone PLEASE. My number is [PHONE NUMBER] My name is [NAME].",N
I have tried multiple times to get assistance on phone to talk to a live person and the get disconnected as the web site correctly states.,N
I have tried so many times to reach someone to talk to and I can never get through.  I can't even get a chance to be on hold,N
I have tried to call. on hold and disconnected. tried to find a way to e-mail question. not possible. Tried to file as a claimant and it said CA DL was already being used. Miserable experience,N
I have used the government services before and I never remember which log in system to use....,O
I haven't been able to speak to anyone and get any information as to when I will be receiving any money. I've received [DOLLAR AMOUNT] in the 4 weeks that I've been out of work. I'm getting overdraft fees from my bank and I am flat broke. I feel let down and extremely disappointed. I thought disability insurance was supposed to keep me afloat during this time of need.,N
I haven't heard back in a month.  My,O
I haven't received my benefit payment in over a month and am living on pennies. Impossible to reach anyone on the phone,N
I Keep asking EDD to send me 'paper copies' and they continue to e mail everything!,N
"I keep getting error messages when trying to file a claim, i have called and cannot get through to anyone it tells me to call back over and over again. I try and still cannot get through. I cannot submit my claim. I cannot go to the office since I cannot drive. There is no help for the disabled.",N
I keep getting messages to contact EDD but have no access to your website because I do not have a Ca. driver's license. When I call I'm told that EDD needs my signature to collect my benefits. Unable to reach a representative.,N
I like how quick I go through the process ??,P
I like that you have to do facial recognition to secure your disability claim,P
I liked the fact that I received a text telling me when my info from me and my doctor had been received. It saved me from calling Edd and checking.,P
I live out of state but working in California. I've applied for disability but have multiple questions. I have tried calling dozens of times and can not get a person to on the phone. I have to send everything in the mail. I have no idea where my claim is in the process of being reviewed. I have a claim ID but when I sign in I can't find any information out about my claim. There is no way for me to get in contact with anyone,N
"I looked up how to file for state disability , followed the directions and continued to do so . Very helpful",P
I love this format,P
"I mean it's nearly impossible to get one of yall on the phone, but besides that everything is great.",P
I need help I can't get no respond from [COMPANY] is 3 weeks no respond no money I be on the stree soon   Knowing I work 45 years and I can't get not even 20 for food   I'm a senior on disability   My information is phone [PHONE NUMBER]   Soc [SOCIAL SECURITY]   Name [NAME],N
"I need help to contact a Rep. The help button didn't help AT ALL, it's horrible trying to speak to someone!! Not everything can be done online. I wish EDD would recognize that, I've called over 2 hours and can't get thru to Anyone!!! This is Horrible!!! AWFUL!!!",N
I need help with my benefits.  I am owed from [DATE1] to [DATE2].  Who can help me?  [PHONE NUMBER],O
"I need help, but calling is proving to be impossible -- with the system being understandably overburdened.  My doctor filed my claim, but the claim has not gone through",N
I need to file for disability but i can't reach you. I need help applying!!,O
I need to have my online account reset as I have called at least 100 times and can't get through to speak to anyone. The reset password does not work and no other option to get back into my account so I can get my claim finished and complete.,N
I need to know when I receive first payment,O
"I need to speak to a representative, and I have been trying for weeks, but it will not connect me to a live person! This isn't very good.",N
"I need to speak with a human being.  I can not access my account.  When asked about ID me, it doesn't allow me in.  Totally frustrating.  My check did not appear this week and I can't find out what is going on.",N
I need to to talk to a person not the automated teller service.,N
"I needed help at that moment. But, my questions, at the time, were not  the norm. I am still not working, and there is no continuing disability.",O
I needed to know which type of claim I was filing at the time,O
I needed to talk to a representative to restart my claim,O
"I personally feel like I got taken for a third of what I was supposed to receive thanks to someone not making a connection with the information provided.  After multiple attempts to contact EDD in order to confirm completion of the application process, both in person and over the phone, I get a phone call informing me that my Dr. hadn't submitted all the information  necessary including the original possible date of return, and the actual date of return to work. Because there was an extension granted, the claim was based off of the extension date and not the original date of injury. Even though all that information was available and given  as soon as it was available, yet not approved until day 50. Thereby negating the actual first week of [DATE]. I literally had to call and walk your representative through the documents in order for them to make the connection,  yet was penalized because it took so much time, yet no new information was given. Very upsetting.",N
I rarely if ever had a phone call answered. If it was answered no one could do anything to help me,N
"I real appreciate the options your website offers.. easy and quick, no standing in line or waiting on hold!  I wish other places were as advanced like yours",P
"I really have needed to talk to someone but all you get is a recording, every time I call no matter what day or time of day",N
I really want to single out [EMPLOYEE NAME] who has been extremely helpful and responsive with my claim  - and helping me correct a mistake I made in an earlier report. The human connection is invaluable. Much appreciated! [NAME],P
I really would appreciate that my payments be on time,O
I receive an error message each time with numerous attempts,O
"I received a A communication and email form that required that I contact the offices of EDD. I've called the number and I cannot get to an agent to find out what you're asking me for.. As far as I know, my records are current, including the continuing disability forms. How do I reach an agent? I've tried for a couple of days. The notification did not say what information you needed.",N
"I received a message that you needed information from me, but now I can't log in to provide that information.",O
"I received a notice to call, after trying for 2 days to get through and being unable to get through, I tried online contacting EDD. Keeps saying there are errors, there are not. Would not send my request for them to call me back. Very frustrating, I don't know what else to do",N
I received all the information I needed for my claim,P
I received an error stating my DL# was already attached to an account and it wouldn't let me advance to the form to apply for temporary disability.,N
I received numerous unexplained error messages and am not allowed to sign in.,O
"I received two emails to [EMAIL] asking me to check my messages. I went thru the verification process twice to be told I already had an exsisting account. I'm confused as to why I wasn't emailed at that account email if that is so. I have applied by mail 5 weeks ago. As of yesterday there has been no mail received. I have tried multiple times to get thru on the phone for several weeks now. I have no way of knowing when I will receive any income. I applied for SDI because I was hit  and run by a car. Driver fled. Driver had no insurance. Two compound  fractures and a broken ankle later, having to relocate, etc.etc. I have no idea when I will receive and support. That and I have to change my address but I can't access my account t do that.",O
"I regularly get no response messaging through the website or by phone call.  I learned when I went into the office that they are the same people who answer the phone and messages.  How can they possibly answer all the phone calls and messages, and deal with the people in the office?  They can't.  That's why they don't answer 90% of the time when I message or call.  It's not their fault. I MUST go to the office in person to get anything done.  Then they call you on your cell while you sit in the public waiting area.  You are forced to discuss your personal information right there in front of every person sitting next to you!  That is not ok.  I sat next to a woman who waited for hours just to have her address corrected.  It wasn't her mistake, it was yours.  But if she wanted her money she had to drive to the office (pay for parking), and wait hours to correct your simple error or she wouldn't get paid.  Again, I know it it no fault of the excellent people who work there.",N
I requested a claim update after waiting 8 was and got no reply with multiple attempts,N
I struggle with on line forms....just trying to get comfortable with working on the computer.,O
I struggled to find a roadmap or process outline that clearly lays out the process for filing and most significantly what are the next steps and what to expect at each point in the claim process. It's not entirely clear who is supposed to be doing what when. Pardon me being so frank but the phone contact is a joke. It's of no use calling to just be disconnected. My EDD is like sending messages into the void. Rarely did I get a response and the time to respond typically was more than the ten days promised. I finally sent a letter which generated a phone call. I would have missed the call if the person was not so persistent because I generally do not answer calls with no callier ID. I understand you all are likely terribly understaffed. I think managing expectations could be better. I also think you all could have a better web portal and system to manage communication with claimants. Thank you for the opportunity to provide feedback.,N
I think the site has improved significantly and is much easier to use than ever before.,P
I think you need help with this survey. To respond honestly to the previous question would require a lot of time and study to review each of the links and try to recall from which one a person gleaned the most information. I think this website is really great but the survey is not easy to respond to in a meaningful way.,O
I tried calling [PHONE NUMBER] the EDD Helpline and was redirected to the website for the assistance that I needed.,O
"I tried calling and leaving electronic messages for EDD A couple dozen times. I never heard back from an actual representative until I physically went to the EDD office in [CITY].  because of my disability, it was extremely difficult to go to the physical location, and it is extremely far from where I live. I did everything else that was asked of me by the EDD department, but my case was not going anywhere by using your online services.",N
I tried numerous times daily to get through via phone & never could get through. Maximum number of callers reached every time I called,O
I tried to check my mailbox and letters about DE 2593 DI Claim Status/Eligibility. I didn't find it. I hope to get a new document to support my unemployment benefits as soon as possible.,O
I tried to see what my status is on my disability application and I can't check online. I tried the different resources and nothing helps. Only thing that works is calling and that takes a long time,O
I tried tried 300 times to call the disability phone number finally went into an office to get help with getting a hold of someone at the disability office. Your system is awful and it made me so angry and hated having to be on disability,N
I try to loggin but forgot my password. I cannot reset my password  for many day since every time EDD website sent me a link but it show there is error.,N
"I understand the ID part, but it was not an easy process. Maybe it was just me and not being so 'tech' savy.........",O
I used it to estimate my weekly payments for my pregnancy disability claim.,O
I used it to try to get info. I have a back injury and when you go to the disability office in [CITY] you have to wait 2-3hrs. Sometimes you get there and they tell you no more numbers or come back tomorrow.,O
I waited a month for my claim to be approved. It was really hard to talk to someone to help me. I try to sent a message trough the website and even like that I didn't get a response. Finally after calling like 150 time someone answered the phone and help me process my claim.,N
I want to speak with a live person and can not!,O
I was able to apply for the benefits and I was approved. However I have never received my debit card. I have requested it over and over.I haven't ever received any paperwork from you guys. I can't get a hold of a live person. I am behind on all my bills. I am trying to recover from brain surgery. I need my debit card. My claim number is [CLAIM NUMBER],O
I was able to fill out everything online. Do need better information on how to get the doctors to fill out information online. Took me a little over a week to figure it out.,O
I was able to find the answers to my questions.,P
I was able to find the right help on the website.,P
"I was able to get clarification and help from [EMPLOYEE NAME] [DATE1]about my physician miscommunication, then clarification on my claim status and benefit payments from [EMPLOYEE NAME] [DATE2]. Today I called EDD 7 times.",P
I was denied disability because they said I was getting paid by employer which I didn't. I filed an appeal three weeks ago and still haven't heard back. I have also called multiple times and have gotten kicked out of the system due to high call volume. I need this money to survive and cannot get a hold of anyone to help,N
"I was denied my disability payments. I tried calling and was disconnected every time, wrote letters, and emailed. The denial response was vague and gave zero details. I FINALLY received a call from EDD after nearly 3 months of trying to get my payments. The EDD person said a former employer paid me Income. We discovered this was not true but it was a payment for an investment I had to sell because I had no money!! Your payment delay has caused me such stress and depression. And this could have been resolved with a simple phone call. I can't communicate how devastating your inaction has been on my life and survival.",N
"I was locked out of my account and waited the one hour before attempting to log in a second time. I was locked out again and told to wait an hour before attempting log in again. I called the customer service number and was told by automated service that all representatives were busy, and it directed me to get on the web site that I was just on and log in. I am locked out and I need to file a claim. You have done this to me in the past and it took days to be let back into my account. Please hire more people to answer the phones or update and make it easier for seniors to navigate your website. This makes no sense to send us in circles and receive no help. This process took 3 hours of my day. I have a medical condition and have no time for this.",N
I was looking for information on how to find & file a voluntary federal tax withholding. But what I'd really like to address & comment on is the malfunctioning inbox.,O
"I was never able to speak to a live person to find the status of my claim since it took 19 days to finally process from the date the doctor submitted the physicians form on [DATE1]. I had submitted my portion on [DATE2]. In the end, it all worked out.",O
I was on disability for a month within that month I had to visit the office 3 times. When calling never could get through. Money Network is no good the website hardly ever worked,N
I was researching Fed and State taxes to be taken out of funds. I didn't find any confirming information online or from sending emails. I have not had anytaxes taken out of SDI.,O
I was sent a letter to call a number that Never returned my message. I called 3 days in a row. This delayed my payment.,O
i was told i needed a form number ED 2500A  but no form exist.  i had to work off a work computer because i could not access it via iphone...forms should be downloadable and if they are i could not figure it out...your website is next to impossible to understand and maneuver through,N
I went into the disability office & they were very helpful.,P
I went to disability office,O
I would  rather talk to a real live person,O
I would call several times during the day and no one would answer. My phone calls would be terminated as no one was answering or picking up. I had to drive to a EDD office and after filling my contact information they said they would call me sometime during the day. That is actually how I was able to successfully file for Disability.,O
I would like to know regularly about my benefits if disability insurance ang I hope to receive it soon. Thank you,O
I would prefer to talk to a live person when I have questions or if I can put it in an email and that somebody can call me back. It would be nice if we can have that option.,O
"I'd like to know if my electronic payment is direct deposit or am I getting a debit card and my payments are electronically deposit on that, none of the information sent to me is clear on my payment information",O
ID me was difficult; have to do video. Should have done video first.,O
If I'm looking for answers here it's probably more complex than anything listed in 'help' or Faq. Who asks these questions? And how do they manage to navigate the rest of this process if they're unable to figure out the rudimentary parts without having horrible life destroying concourse?,N
"If my Last Name mismatched and I had to wait in Line twice for more than 3 hours in front of Office, and later submit my Paper Application , still didn't get any response yet and its almost 3 weeks. Nobody Understand or realize the situation weather online or in office . No courtesy.",N
"If there could be an Open Page for Written Correspondence for purposes of clarifying supplemental questions that are not incorporated or enumerated on the forms, that would be substantially helpful with guidance for the applicant. Actual feedback for specific issues that are not inherent or inclusive of OSHA Industria Hygiene Standards, or Impairments in the Operation of Heavy Machinery due to Medical Prescriptions, etc.",O
"If.me kept saying I had another account, but I don't that I know of. I ended up having to mail paperwork in.",O
I'm can't get any help with my claim   [NAME]   [PHONE NUMBER],N
"I'm currently on disability through [DATE], and I looked at my account. I should've had a payment sent out Monday, but it does not show that I have one on the way.",O
"I'm disabled my claim started [DATE1]  My last payment was on [DATE2] for [DOLLAR AMOUNT] my doctor sent the practitioner supplementary certification for continuing my claim, I received confirmation and to allow 14 days it is [DATE3] and I have yet to received payment been trying online and over the phone to speak to someone about the delay can someone please help!",O
I'm going to be homeless Very soon if I don't get my money. I have not been able to pay any bills. My credit has gone downhill. I'm having the hardest surgery of my life. [MEDICAL PROCEDURE]. All because of my disability not going through. The?  Worst and longest experience. I've ever had in my life. The surgeons can't believe i'm going through this experience.,O
I'm happy for the help they provided,P
I'm just not sure when my payments will be automatically deposited into credit union.? Overall the website  seems to work for me.,O
I'm not getting my paperwork in a timely manner and can not get a hold of any one or answer back from you system.,N
I'm not to sure what payment schedule is being used. I had to make two visits to the [CITY] location and speak with personnel.,O
I'm not very computer savvy. So I struggle. Sometimes your messages are clear,O
"I'm not very tech savvy, but with some help I was able to navigate the website.",O
I'm old school! Would always rather talk to a live person! Making a phone call to you guys is very hard and a long process! Wish that was easier!,N
"I'm soo frustrated,  I STILL have not received the last 3 weeks of my claim, dr majors was going to let me go back to work [DATE1], he kept me off until [DATE2]. I had paperwork filled out TWICE and sent to you...still i haven't received anything more",N
I'm trying to call because I can't log in. The system is asking me for a laundry list of information that I don't have access to because I can't access my account. Why do I need to provide all the information on my account in order to ask why I can't log in? This is ludicrous.,N
"I'm trying to call the department  of disability, I started early this morning, I even called  a minute before 8am and the automated system was saying was she has been saying that my call can't go through and there are no available agents, there's not even  a call back option. It's very frustrating.  I just want to to know  the status on my claim",N
I'm trying to get in contact to the disability office and it always says that is a high volume of call I called at 8am and it's says the same,N
I'm UNABLE TO get ANY HELP AT ALL with my DISABILITY CLAIM!! I will end up having to Drive to [CITY]/ [CITY] (at LEAST 50 MILES AWAY FROM MY HOUSE) IN ORDER TO TALK TO A PERSON!!  UNACCEPTABLE!!,N
I'm unavailable to find the forms  that I need to start my claim.,N
Impossible to contact anyone  About your claim. This is just terrible.,N
Impossible to get a hold of a live person and replies electronically for communication are next to none. Payments are delayed over 1 month and creates a lot of anxiety due to unpaid bills and no cash flow for rent and groceries.,N
Impossible to get a hold of disability and unemployment,N
Impossible to get anyone on phone. Takes weeks through email to access your own hard earnings. Very frustrating and stressful.,N
Impossible to get to a live person on the phone.  Ridiculous to have to show up in person wait for an hour to ask a question.,N
"impossible to reach anyone, emails do not get answered and when they do the info is not helpful, help button does not provide any needed help. a Date was filled out with a wrong  Year by the Dr. Office - this was in [DATE1], it is now [DATE2] and still not paid, corrected form with correct date was sent in many weeks ago, no update from EDD since [DATE3] and no correspondence, no payment.  Tried calling numerous times, all different days, times of days and can never even get in the que. really frustrating and cannot pay bills either.",N
Impossible to reach customerservice,N
Impossible to reach someone by phone regarding overpayments and underpayments!,N
improve the phone,N
"In a nutshell, trying to contact EDD to ask questions never happens. U have no agents available to answer calls & Ask EDD is a joke if you have to turn in something right away & the only way to ask a question is to wait 5 to 7 business days for a response which in EDD's case is about 15 days or never. There are times when I never get a response.",N
"in prior claim from [MONTH], I sent revised claim start date and disputed the case start date for which i had submitted doctor's note. I used the online dispute form, and sent msg to  ask EDD, and never received ANY REPLY.",N
"In theory the process to file the claim was streamlined and more appealing than before. In actual use, horrible. The site freezes constantly. I used 4 different devices to file the claim because I thought it was my fault. The help offered was no help because you had to log in again EVERY TIME you used it! The other thing was that once got back into the part I needed help with, I would get kick out of the process at least twice before it let me continue on.",N
Info goes round and round without giving direct clarification what to do. Have to unnecessarily click and read so many links. It's just time consuming and no one comes even on the phone to help. If they do they are not from department.,N
Information is vague and general.,O
"Information was easy to find. I liked that, if I stopped and logged back in at a later time, I could pick up where I left off with my application process instead of starting over.",P
Initial set up confirmed even with that horrible ID me crap. I was successful. After that next sign ins could not get past ID me at all wanted VERY SENSITIVE hack me info over and over to fly around everywhere. thats criminal in itself . I have several friends who got hacked all accounts after this site. Now Ive sent by mail x3 and u never get it !!!!!! Call time over 3 hours then system hangs up on u. Iv done this about 5x's. this is a corrupt goverment system.  Ssa and medicare sites are a dream why is EDD so messed up? get me my pay!! Ive paid in all my life . I am an american and licensed professional. no pay x8 weeks. now address issues. lived here 25 yrs. what more junk can u stall? fix it,N
Intentaba preguntar sobre un caso puntual y me decÌa que no podÌa acceder y tuve que llamar por m·s de 4 horas para que alguien de servicio al cliente contestara [I was trying to ask about a specific case and it told me that I could not access and I had to call for more than 4 hours for someone from customer service to answer],N
It all took me back to same old claims from past years.,O
It basically walked you through it unless you're confused about questions is helpful,O
It can take some time,O
"It didn't navigate you to the proper way it kept shutting you up, knocking you off the side then you had to get a claim form then it kept pushing you off the side. It keeps logging you off the site and if you don't save it in a certain way you have to start all over. It's very frustrating.",N
It directed me in the right direction,N
It gave me what I needed to complete my application to EDD.,P
"It gives you great information, but you have to call about 300 times to get into the queue to be able to talk to a person.",O
